date,text,url_imagen,categoria
,"Por las fiestas de #Guayaquil  Gran evento de exaltación al Rey de Reyes Annette Moreno en #concierto. Sábado 06/oc… https://t.co/WA8Ec7UUMb",,cultural
,"RT @ab_quezada: #BTSCONCIERTOSECUADOR  #BTSECUADOR #ECUADOR #GUAYAQUIL #LOVE_YOURSELF_結_Answer  #방탄소년단  #CONCIERTO #BTS #BTSARMY  #BTSLoveY…",,cultural
,"RT @ab_quezada: #BTSCONCIERTOSECUADOR  #BTSECUADOR #ECUADOR #GUAYAQUIL #LOVE_YOURSELF_結_Answer  #방탄소년단  #CONCIERTO #BTS #BTSARMY  #BTSLoveY…",,cultural
,"RT @ab_quezada: #BTSCONCIERTOSECUADOR  #BTSECUADOR #ECUADOR #GUAYAQUIL #LOVE_YOURSELF_結_Answer  #방탄소년단  #CONCIERTO #BTS #BTSARMY  #BTSLoveY…",,cultural
,"RT @ab_quezada: #BTSCONCIERTOSECUADOR  #BTSECUADOR #ECUADOR #GUAYAQUIL #LOVE_YOURSELF_結_Answer  #방탄소년단  #CONCIERTO #BTS #BTSARMY  #BTSLoveY…",,cultural
,"RT @ab_quezada: #BTSCONCIERTOSECUADOR  #BTSECUADOR #ECUADOR #GUAYAQUIL #LOVE_YOURSELF_結_Answer  #방탄소년단  #CONCIERTO #BTS #BTSARMY  #BTSLoveY…",,cultural
,"#BTSCONCIERTOSECUADOR  #BTSECUADOR #ECUADOR #GUAYAQUIL #LOVE_YOURSELF_結_Answer  #방탄소년단  #CONCIERTO #BTS #BTSARMY… https://t.co/nM7h46IQ9q",,cultural
,"#Salsa #Viva 2018 - #Concierto en #Quito y #Guayaquil #Ecuador https://t.co/5LhUKN9K2W @elyex https://t.co/eiHoTfRPXW",http://pbs.twimg.com/media/DmBCwk5W4AA8vIm.jpg|,cultural
,"RT @javierbrutal72: #Hoy #Guayaquil y #Ecuador sigue la fiesta #Atahualparock 2018 con la #culminación de #feria de #discos y más y el cier…",,cultural
,"#Hoy #Guayaquil y #Ecuador sigue la fiesta #Atahualparock 2018 con la #culminación de #feria de #discos y más y el… https://t.co/8Ot1PEOpWt",,cultural
,"Con el papá de @laurapausini #fabrizziopausini esperando por el #Concierto, que gusta saber que dijo que hasta ahor… https://t.co/b9BHKGg4KT",,cultural
,"RT @mixcenter_ec: TRIBUTO a: Vicente Fernández, Alejandro Fernández y Javier Solis, en la voz de Raul André. @mixcenter_ec Diagonal a Villa…",,cultural
,"TRIBUTO a: Vicente Fernández, Alejandro Fernández y Javier Solis, en la voz de Raul André. @mixcenter_ec Diagonal a… https://t.co/GVqOKKUIHX",,cultural
,"Por las fiestas de #Guayaquil  Gran evento de exaltación al Rey de Reyes Annette Moreno en #concierto. Sábado 06/oc… https://t.co/LAEofyqYud",,cultural
,"#SomosCRF Debut del #Ensamble de #Violonchelo del Colegio República de Francia, en la Capilla del Parque Histórico… https://t.co/lfapHYLxls",,cultural
,"¡Solo falta 1 dia! Este 31 de agosto en el Centro de convenciones te esperamos junto a @fonsecamusic en su tour… https://t.co/H0nLcHqquq",,cultural
,"#SomosCRF Debut del #Ensamble de #Violonchelo del Colegio República de Francia, en la Capilla del Parque Histórico… https://t.co/p52HG7pgzB",,cultural
,"¡¡Recuerda MAÑANA!! "Vallenato" con ZONA TRES @chelins_ec de @mixcenter_ec Ecuador diagonal a Villa Italia y La Rio… https://t.co/gvCF0BWGGN",,cultural
,"RT @mixcenter_ec: "Noche Mexicana" con Raul André, Malecón de @mixcenter_ec ¡El lugar donde viven tus emociones! Diagonal a Villa Italia y…",,cultural
,""Noche Mexicana" con Raul André, Malecón de @mixcenter_ec ¡El lugar donde viven tus emociones! Diagonal a Villa Ita… https://t.co/cvnJ5WxlJH",,cultural
,"** LA CANOERA ** . .Cuentera de río, desde su canoa junto al cocodrilo Fulgencio transitan aguas espesas, tiempos o… https://t.co/wiz6atSPta",,cultural
,"** TARTUFO ** . - Vuelve - . Tartufo de Molière protagonizada por Lucho Mueckay @luchandoando. Una de las mejores c… https://t.co/o3aUFkqrLP",,cultural
,""En verdad creo que la belleza es algo que viene desde adentro" .- Emma Watson - . . #peliculas #movies #frases… https://t.co/VzJq8tvlMF",,cultural
,"“Tengo que aprender a volar entre tanta gente de pie”  .- Luis Alberto Spinetta -  . . #peliculas #movies #frases… https://t.co/LPU8g1PTbM",,cultural
,"“No se puede deshacer el pasado, pero puedes no repetirlo”  .- Bruce Willis - . . #peliculas #movies #frases… https://t.co/M9UTthH3pe",,cultural
,"“¿Donde está tu voluntad de ser raro?” .- Jim Morrison - . . #peliculas #movies #frases #quotes #musica #teatro… https://t.co/REWtk9J0Cd",,cultural
,"** LA CANOERA ** . .Cuentera de río, desde su canoa junto al cocodrilo Fulgencio transitan aguas espesas, tiempos o… https://t.co/QC6HDPOw7B",,cultural
,"** GRUPO EVOCACIÓN ** .- Hoy - . Presenta recuerdos a ritmo de Boleros, Pasillos, Sanjuanitos y Pasacalles. . .- El… https://t.co/yt3j8iMK9F",,cultural
,"“Todo niño tiene algo para lo que es bueno, y uno espera que lo encuentre y se sienta atraído por ello” .- Tina Fey… https://t.co/JnGEOOqp3y",,cultural
,"* EL NOMBRE * --&gt; HOY - Monólogo - . María, representa a los anulados desde la negación de sus necesidades y sus de… https://t.co/Bs9cXpyYpG",,cultural
,"** GRUPO EVOCACIÓN ** . Presenta recuerdos a ritmo de Boleros, Pasillos, Sanjuanitos y Pasacalles. . .- El Altillo… https://t.co/xqajkn6lH7",,cultural
,"* LUNA DIVIDIDA * HOY . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hom… https://t.co/bvyJohHByA",,cultural
,""El amor es tan importante como la comida pero no alimenta"  .- Gabriel García Marquez - . . . #peliculas #movies… https://t.co/OZ5ngKrny3",,cultural
,"🎊C U L M I N A C I Ó N  D E L   S E G U N D O   M I C R O T E A T R O🎭 Cuinando con este segundo microteatro con gr… https://t.co/qZFrxXTI2p",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  URGEN… https://t.co/CUJuNhlgHS",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  DOS L… https://t.co/A06iSZIPSo",,cultural
,"* LUNA DIVIDIDA * . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hombre… https://t.co/NbQW2kefQG",,cultural
,"Esto es un #tbt de la semana pasada en #Ecuador🇪🇨  donde nos trataron muy bien..y @Honoriotorrealb disfruto más que… https://t.co/BF5B1VwLMJ",,cultural
,"RT @JEAdictaOficial: #Repost @nathsalvarez •  •  •  •  • #TanGalan @tangalanteatro Llega a #Guayaquil #Ecuador el 19 de Octubre #TeatroCent…",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/Jwiamn3NyB",,cultural
,"#Repost @nathsalvarez •  •  •  •  • #TanGalan @tangalanteatro Llega a #Guayaquil #Ecuador el 19 de Octubre… https://t.co/6iklxMfNuy",,cultural
,""Cuando dominas tu arte puedes hacer lo que sea"  .- Billie Joe Armstrong - . . . #peliculas #movies #frases… https://t.co/zUmqnkikaw",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  . Te presentamos esta increíble obra teatral :  SECUE… https://t.co/Z6XUKspF9L",,cultural
,"🎭S E G U N D O  F E S T I V A L  D E  M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  LA HERE… https://t.co/oyu3zOMYLY",,cultural
,"🎭S E G U N D O F E S T I V A L  D E M I C R O T E A T R O🎊  Te presentamos esta increíble obra teatral :  TE PERDON… https://t.co/7KxXsQUqPh",,cultural
,"* LUNA DIVIDIDA * . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hombre… https://t.co/OhdIx63gkE",,cultural
,"*** XXI FIARTES-G 2018 *** .- El Festival Internacional Artes Escénicas Guayaquil 2018 . .- Veintiún años cumple el… https://t.co/IdbW8WcXLD",,cultural
,""No puedes evitar lo que la gente diga, pero puedes dejar de darles de que hablar"   .- Miley Cyrus -  . . .… https://t.co/B668LyuORc",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/3IhRkhJaD0",,cultural
,""No hables mal de una persona cuando ni siquiera has hablado con ella"  .- Nick Jonas -  . . . #peliculas #movies… https://t.co/pRwMaDqqLS",,cultural
,"* LUNA DIVIDIDA * . Silvia descubre que su esposo la engaña con Ariel y ella decide enfrentar al amante del hombre… https://t.co/MjOmvG7wwo",,cultural
,"* EL NOMBRE * - Monólogo - . María, representa a los que son anulados desde la negación de sus necesidades y sus de… https://t.co/Oo4sjnPshH",,cultural
,""No me gusta estudiar. Odio estudiar. Me gusta aprender. Aprender es hermoso"  .- Natalie Portman -  . . .… https://t.co/VAH6Pu64Ja",,cultural
,"*** XXI FIARTES-G 2018 *** .- El Festival Internacional Artes Escénicas Guayaquil 2018 . .- Veintiún años cumple el… https://t.co/8tT1JNa0Yv",,cultural
